sample_id,label,size_model,size_params_json,label_coarse,label_family,n_particles,pattern_params,seed_offset
sample_000010,C03_Ring,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.482860054619552, ""per_sample"": true, ""sigma_log"": 0.3668657449235492}",,,73,"{""n_particles"": 73, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.4647129482328593, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.17976932878147064}",10
sample_000011,C05_Sector_Internal,weibull,"{""k"": 2.8262525623706365, ""lambda_um"": 0.4410924430888589, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,147,"{""angle_center_rad"": 4.6597239052592565, ""angle_width_deg"": 66.02587559615108, ""edge_margin_norm"": 0.05, ""n_particles"": 147, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.1376706779108035, ""r_outer_ratio"": 0.5485555884716231, ""radial_beta_alpha"": 3.8717619791921045, ""radial_beta_beta"": 2.8070050399861057, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 5.159466548832015, ""wafer_radius_mm"": 150.0}",11
sample_000012,C04_Sector_Edge,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.417304394541189, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.04133994206422911}",,,14,"{""angle_center_rad"": 0.7737308251046766, ""angle_width_deg"": 26.039707483594402, ""edge_width_ratio"": 0.09222910580319242, ""n_particles"": 14, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.5349540636791663, ""radial_beta_beta"": 2.5406929210898004, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 8.960428274039705, ""wafer_radius_mm"": 150.0}",12
sample_000013,C05_Sector_Internal,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.7021703456112784, ""per_sample"": true, ""sigma_log"": 0.21619597402063073}",,,69,"{""angle_center_rad"": 4.881412342990255, ""angle_width_deg"": 78.45605784675058, ""edge_margin_norm"": 0.05, ""n_particles"": 69, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.3788215735587903, ""r_outer_ratio"": 0.7521216605112591, ""radial_beta_alpha"": 3.958981281702335, ""radial_beta_beta"": 2.969063245131859, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 5.154374682827256, ""wafer_radius_mm"": 150.0}",13
sample_000014,C09_Spiral,weibull,"{""k"": 0.7582054701714136, ""lambda_um"": 0.1337233301573901, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,106,"{""end_r_ratio"": 0.8366559674233951, ""n_particles"": 106, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 29.747904637283746, ""width_norm"": 0.009648244384477889}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.2338369450493995, ""theta_max"": 8.078790865473884, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03214787036758904}",14
sample_000015,C09_Spiral,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.1920071839432786, ""per_sample"": true, ""sigma_log"": 0.21938054489707626}",,,19,"{""end_r_ratio"": 0.7043403374664571, ""n_particles"": 19, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 20.23375552182489, ""width_norm"": 0.04293464430651076}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.15297241344273468, ""theta_max"": 17.538183248934217, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.027038450356125496}",15
sample_000016,C03_Ring,weibull,"{""k"": 2.304722381618711, ""lambda_um"": 0.2660166921746763, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,119,"{""n_particles"": 119, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7814391028597834, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.16760185213724102}",16
sample_000017,edge_sector_right,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.4959412427278443, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.08631807732693297}",sector,edge_sector,72,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 72, ""name"": ""wafer_particles.pattern.edge_sector"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""wafer_radius_mm"": 150.0}",17
sample_000018,C04_Sector_Edge,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.41877465656875285, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.0940733838901619}",,,173,"{""angle_center_rad"": 6.269313471614219, ""angle_width_deg"": 74.77065065468567, ""edge_width_ratio"": 0.07727373570860809, ""n_particles"": 173, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.4184197283608384, ""radial_beta_beta"": 0.828111047901934, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 4.965966408200599, ""wafer_radius_mm"": 150.0}",18
sample_000019,C07_StraightLine,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.670227234310325, ""per_sample"": true, ""sigma_log"": 0.27733075829109183}",,,66,"{""angle_deg"": 154.7786786961743, ""n_particles"": 66, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.20579060171916425, ""params"": {""segment_half_length_norm"": 0.046653135512079925, ""width_norm"": 0.041889662203758}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6968868263884709, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.020627044824653176}",19
sample_000020,C09_Spiral,weibull,"{""k"": 1.692863615709763, ""lambda_um"": 0.3284340693658393, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,22,"{""end_r_ratio"": 0.7085630928566532, ""n_particles"": 22, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 18.85028078974172, ""width_norm"": 0.007984989173504186}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.17625255907076406, ""theta_max"": 17.21645987994949, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.013334657247105478}",20
sample_000021,C01_Uniform,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.4697526572642546, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.07212773314234028}",,,35,"{""n_particles"": 35, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",21
sample_000022,C04_Sector_Edge,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.4471221288940223, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.02694114627982259}",,,193,"{""angle_center_rad"": 5.686188529722356, ""angle_width_deg"": 78.20154968128173, ""edge_width_ratio"": 0.11884961480676563, ""n_particles"": 193, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.7061614920624542, ""radial_beta_beta"": 1.93606383466906, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 6.579509405219872, ""wafer_radius_mm"": 150.0}",22
sample_000023,C06_RadialLines,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.319794141324767, ""per_sample"": true, ""sigma_log"": 0.30000345102026826}",,,136,"{""angular_jitter_deg"": 1.473577798293999, ""n_lines"": 8, ""n_particles"": 136, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 2.0, ""r_max_norm"": 0.922919458293295, ""r_min_norm"": 0.1541876619727611, ""sigma_perp_norm"": 0.04002224999441722}, ""r_max_ratio"": 0.7800691514752058, ""r_min_ratio"": 0.2282847541131159, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.021395956492226916, ""wafer_radius_mm"": 150.0}",23
sample_000024,C07_StraightLine,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.7009246945031008, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.03142530970241068}",,,146,"{""angle_deg"": 12.988354042349112, ""n_particles"": 146, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.275416833059811, ""params"": {""segment_half_length_norm"": 0.13661507678105697, ""width_norm"": 0.05548883728198313}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6170164297247338, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.049592531077303194}",24
sample_000025,hotspot_center,weibull,"{""k"": 2.476820468575596, ""lambda_um"": 0.29561054951586246, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",hotspot,hotspot,73,"{""center_angle"": ""random"", ""center_radius_ratio"": 0.9, ""mode"": ""center"", ""n_particles"": 73, ""name"": ""wafer_particles.pattern.hotspot"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_ratio"": 0.05, ""wafer_radius_mm"": 150.0}",25
sample_000026,C08_CurvedScratch,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.30157213247426673, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.07326894458383286}",,,104,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 2.2682630333394114, ""arc_radius_ratio"": 0.8996102082782735, ""n_particles"": 104, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.5314698677361263, ""span_rad"": 0.5748740594847085, ""width_norm"": 0.05718304692610537}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 147.61189839441352, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04369842627068611}",26
sample_000027,C03_Ring,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.6526077407817722, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.09968801746330064}",,,165,"{""n_particles"": 165, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6149563716128097, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15491714312824473}",27
sample_000028,C09_Spiral,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.6724778489660018, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.02139663451246056}",,,112,"{""end_r_ratio"": 0.8722602996066082, ""n_particles"": 112, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 13.296907120337472, ""width_norm"": 0.02801540631373512}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.19053285519072544, ""theta_max"": 14.230910029772176, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.0306114593000069}",28
sample_000029,C02_EdgeBiased,weibull,"{""k"": 1.2302998076862632, ""lambda_um"": 0.054678244599254244, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,20,"{""edge_bias"": 2.730944123153889, ""n_particles"": 20, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",29
sample_000030,C11_Hotspot_Elliptic,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.268255789222829, ""per_sample"": true, ""sigma_log"": 0.37975532100549547}",,,107,"{""center_angle"": ""random"", ""center_angle_rad"": 2.8339322048537543, ""center_radius_ratio"": 0.09499022955481916, ""mode"": ""random"", ""n_particles"": 107, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.454816185528894, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.109207290904681, ""sigma_y_ratio"": 0.026095015210422817, ""wafer_radius_mm"": 150.0}",30
sample_000031,C02_EdgeBiased,pareto,"{""alpha"": 3.284981609905548, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.21643875246838357}",,,92,"{""edge_bias"": 2.6255976464327775, ""n_particles"": 92, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",31
sample_000032,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.20044917518071187, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.05756604392883588}",,,57,"{""center_angle"": ""random"", ""center_angle_rad"": 1.7918652350265696, ""center_radius_ratio"": 0.5453521363789473, ""mode"": ""random"", ""n_particles"": 57, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.0929743331302486, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10876103657180851, ""sigma_y_ratio"": 0.0465548090652871, ""wafer_radius_mm"": 150.0}",32
sample_000033,C08_CurvedScratch,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.41184549866322556, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.04064589038431829}",,,31,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 3.751813512366065, ""arc_radius_ratio"": 0.6925537861021263, ""n_particles"": 31, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.6237383088032836, ""span_rad"": 0.3631486796162635, ""width_norm"": 0.04370473576410963}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 39.4007169757495, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.019865431535001532}",33
sample_000034,C09_Spiral,weibull,"{""k"": 1.3405461333351345, ""lambda_um"": 0.3266417322490872, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,164,"{""end_r_ratio"": 0.8737838589150811, ""n_particles"": 164, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 29.149938741025323, ""width_norm"": 0.040841453898194664}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.2634368064705093, ""theta_max"": 12.741821063973504, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04019005156773005}",34
sample_000035,C05_Sector_Internal,pareto,"{""alpha"": 2.129160746393214, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.13572804489319507}",,,146,"{""angle_center_rad"": 0.8760348493200905, ""angle_width_deg"": 107.63261404857816, ""edge_margin_norm"": 0.05, ""n_particles"": 146, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.10904367737316206, ""r_outer_ratio"": 0.7861643320683318, ""radial_beta_alpha"": 2.266465380540561, ""radial_beta_beta"": 2.3967299205976325, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 0.8066104188862115, ""wafer_radius_mm"": 150.0}",35
sample_000036,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.7594195568072752, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.03848563315101608}",,,70,"{""center_angle"": ""random"", ""center_angle_rad"": 3.495341468581203, ""center_radius_ratio"": 0.7404465066163274, ""mode"": ""random"", ""n_particles"": 70, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.226241215813457, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10503898436316927, ""sigma_y_ratio"": 0.0285327345691083, ""wafer_radius_mm"": 150.0}",36
sample_000037,C11_Hotspot_Elliptic,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.7638429600274557, ""per_sample"": true, ""sigma_log"": 0.6694036811328145}",,,178,"{""center_angle"": ""random"", ""center_angle_rad"": 3.0881232421790186, ""center_radius_ratio"": 0.41236210608733237, ""mode"": ""random"", ""n_particles"": 178, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.400470562237981, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.06610841754649033, ""sigma_y_ratio"": 0.016579405681767714, ""wafer_radius_mm"": 150.0}",37
sample_000038,C02_EdgeBiased,weibull,"{""k"": 1.28295008804426, ""lambda_um"": 0.30963584035632946, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,166,"{""edge_bias"": 1.898760054830133, ""n_particles"": 166, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",38
sample_000039,C07_StraightLine,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.6156274804906356, ""per_sample"": true, ""sigma_log"": 0.5384378192712072}",,,172,"{""angle_deg"": 132.6856548802053, ""n_particles"": 172, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.03145348248216284, ""params"": {""segment_half_length_norm"": 0.2533327093738382, ""width_norm"": 0.05483594554446}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7553941894592668, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.02939166769249454}",39
sample_000040,C08_CurvedScratch,pareto,"{""alpha"": 2.65715021601827, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.22959235803538347}",,,132,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 5.419721200600314, ""arc_radius_ratio"": 0.6929937778997255, ""n_particles"": 132, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.4271849100638579, ""span_rad"": 0.5757410106187164, ""width_norm"": 0.060118970719117426}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 47.84236625397271, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.05055963460781629}",40
sample_000041,C03_Ring,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.6646859780093033, ""per_sample"": true, ""sigma_log"": 0.8672791244542011}",,,84,"{""n_particles"": 84, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.40347400520626986, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.19723606854720196}",41
sample_000042,C05_Sector_Internal,pareto,"{""alpha"": 1.578263533566424, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2749113339469292}",,,178,"{""angle_center_rad"": 4.600430520773261, ""angle_width_deg"": 107.36832625813763, ""edge_margin_norm"": 0.05, ""n_particles"": 178, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.36653753307780523, ""r_outer_ratio"": 0.7284859365470957, ""radial_beta_alpha"": 2.2592887652585327, ""radial_beta_beta"": 2.4199890373827997, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 3.44352707071745, ""wafer_radius_mm"": 150.0}",42
sample_000043,C03_Ring,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.7616494445919413, ""per_sample"": true, ""sigma_log"": 0.2562090287750015}",,,176,"{""n_particles"": 176, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.710182053652746, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.093811349153454}",43
sample_000044,C01_Uniform,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.1527268586726627, ""per_sample"": true, ""sigma_log"": 0.37746697306768273}",,,18,"{""n_particles"": 18, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",44
sample_000045,C06_RadialLines,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.10608420126029482, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.04904131876584338}",,,33,"{""angular_jitter_deg"": 2.8181662229001536, ""n_lines"": 4, ""n_particles"": 33, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 4.0, ""r_max_norm"": 0.9963193510757651, ""r_min_norm"": 0.18343394516025613, ""sigma_perp_norm"": 0.016899558059822732}, ""r_max_ratio"": 0.840436519592616, ""r_min_ratio"": 0.23571058590984945, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.005175803917888976, ""wafer_radius_mm"": 150.0}",45
sample_000046,C03_Ring,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.9967053381817963, ""per_sample"": true, ""sigma_log"": 0.40955256347631996}",,,142,"{""n_particles"": 142, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8345018823711605, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.13702831086105113}",46
