sample_id,label,n_particles,pattern_params,seed_offset
sample_000017,C11_Hotspot_Elliptic,1010,"{""center_angle"": ""random"", ""center_angle_rad"": 5.094170033913773, ""center_radius_ratio"": 0.8726757267635851, ""mode"": ""random"", ""n_particles"": 1010, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.1030554840166098, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10904708685244958, ""sigma_y_ratio"": 0.06348934366500004, ""wafer_radius_mm"": 150.0}",17
sample_000018,C03_Ring,1505,"{""n_particles"": 1505, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8988961144000069, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.16083881596919172}",18
sample_000019,C04_Sector_Edge,964,"{""angle_center_rad"": 5.402795110269291, ""angle_width_deg"": 66.30346307865493, ""edge_width_ratio"": 0.13681691569251764, ""n_particles"": 964, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.3243212647794125, ""radial_beta_beta"": 1.4930757769888579, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 8.508351193886767, ""wafer_radius_mm"": 150.0}",19
sample_000020,C07_StraightLine,611,"{""angle_deg"": 156.60762231935342, ""n_particles"": 611, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.1888712367052603, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6525051181415282, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.006284463928497982}",20
sample_000021,C01_Uniform,713,"{""n_particles"": 713, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",21
sample_000022,C03_Ring,1412,"{""n_particles"": 1412, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8524925059288748, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.1696611277518673}",22
sample_000023,C04_Sector_Edge,1527,"{""angle_center_rad"": 4.144562446442234, ""angle_width_deg"": 40.63008917611599, ""edge_width_ratio"": 0.24023729509426328, ""n_particles"": 1527, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.1077288214161243, ""radial_beta_beta"": 0.9443150110229994, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 4.776642347536138, ""wafer_radius_mm"": 150.0}",23
sample_000024,C07_StraightLine,519,"{""angle_deg"": 12.988354042349112, ""n_particles"": 519, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.275416833059811, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6170164297247338, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.049592531077303194}",24
sample_000025,C11_Hotspot_Elliptic,1018,"{""center_angle"": ""random"", ""center_angle_rad"": 6.0605433652726814, ""center_radius_ratio"": 0.5313076219397527, ""mode"": ""random"", ""n_particles"": 1018, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.890114819244643, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.04491868289086909, ""sigma_y_ratio"": 0.011647634653956202, ""wafer_radius_mm"": 150.0}",25
sample_000026,C07_StraightLine,1267,"{""angle_deg"": 179.85967498017848, ""n_particles"": 1267, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.08339683560684963, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.8428241464357549, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.0353285836436175}",26
sample_000027,C03_Ring,631,"{""n_particles"": 631, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6149563716128097, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15491714312824473}",27
sample_000028,C07_StraightLine,1334,"{""angle_deg"": 113.8427708340846, ""n_particles"": 1334, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.04148612400009194, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6810657103814509, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.030839044940991243}",28
sample_000029,C01_Uniform,593,"{""n_particles"": 593, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",29
sample_000030,C11_Hotspot_Elliptic,1292,"{""center_angle"": ""random"", ""center_angle_rad"": 2.8339322048537543, ""center_radius_ratio"": 0.09499022955481916, ""mode"": ""random"", ""n_particles"": 1292, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.454816185528894, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.109207290904681, ""sigma_y_ratio"": 0.026095015210422817, ""wafer_radius_mm"": 150.0}",30
sample_000031,C01_Uniform,1172,"{""n_particles"": 1172, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",31
sample_000032,C11_Hotspot_Elliptic,894,"{""center_angle"": ""random"", ""center_angle_rad"": 1.7918652350265696, ""center_radius_ratio"": 0.5453521363789473, ""mode"": ""random"", ""n_particles"": 894, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.0929743331302486, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10876103657180851, ""sigma_y_ratio"": 0.0465548090652871, ""wafer_radius_mm"": 150.0}",32
sample_000033,C07_StraightLine,685,"{""angle_deg"": 105.31936299676542, ""n_particles"": 685, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.05827179963121504, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.34338792450345923, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.013878888381501382}",33
sample_000034,C07_StraightLine,885,"{""angle_deg"": 92.51314256914347, ""n_particles"": 885, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.16920068756973394, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.8268736129410188, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03106757883726217}",34
sample_000035,C04_Sector_Edge,837,"{""angle_center_rad"": 0.8760348493200905, ""angle_width_deg"": 80.38092203778302, ""edge_width_ratio"": 0.09217405526654433, ""n_particles"": 837, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.417757586266845, ""radial_beta_beta"": 1.8283773312355414, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 8.267317584711861, ""wafer_radius_mm"": 150.0}",35
sample_000036,C11_Hotspot_Elliptic,993,"{""center_angle"": ""random"", ""center_angle_rad"": 3.495341468581203, ""center_radius_ratio"": 0.7404465066163274, ""mode"": ""random"", ""n_particles"": 993, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.226241215813457, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10503898436316927, ""sigma_y_ratio"": 0.0285327345691083, ""wafer_radius_mm"": 150.0}",36
sample_000037,C11_Hotspot_Elliptic,1486,"{""center_angle"": ""random"", ""center_angle_rad"": 3.0881232421790186, ""center_radius_ratio"": 0.41236210608733237, ""mode"": ""random"", ""n_particles"": 1486, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.400470562237981, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.06610841754649033, ""sigma_y_ratio"": 0.016579405681767714, ""wafer_radius_mm"": 150.0}",37
sample_000038,C01_Uniform,1432,"{""n_particles"": 1432, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",38
sample_000039,C04_Sector_Edge,1244,"{""angle_center_rad"": 4.63160309564893, ""angle_width_deg"": 73.12932210358113, ""edge_width_ratio"": 0.185509264958303, ""n_particles"": 1244, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.2533306208224895, ""radial_beta_beta"": 2.54170375502616, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.748013472634245, ""wafer_radius_mm"": 150.0}",39
sample_000040,C07_StraightLine,1493,"{""angle_deg"": 105.47776004390116, ""n_particles"": 1493, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.21754525155328902, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.3823493827106433, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04150367114703466}",40
sample_000041,C03_Ring,1110,"{""n_particles"": 1110, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.40347400520626986, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.19723606854720196}",41
sample_000042,C03_Ring,1026,"{""n_particles"": 1026, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7660906288659435, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.17473665251627526}",42
sample_000043,C01_Uniform,1027,"{""n_particles"": 1027, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",43
sample_000044,C01_Uniform,581,"{""n_particles"": 581, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",44
sample_000045,C04_Sector_Edge,703,"{""angle_center_rad"": 5.988613067884558, ""angle_width_deg"": 59.45432712060215, ""edge_width_ratio"": 0.24642548825820787, ""n_particles"": 703, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.425638924818116, ""radial_beta_beta"": 1.7041363672522831, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 6.210367340324631, ""wafer_radius_mm"": 150.0}",45
sample_000046,C03_Ring,744,"{""n_particles"": 744, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8345018823711605, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.13702831086105113}",46
sample_000047,C07_StraightLine,831,"{""angle_deg"": 125.75436779966249, ""n_particles"": 831, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.12031532573289841, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.5240882098216395, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.005597482226602604}",47
sample_000048,C07_StraightLine,786,"{""angle_deg"": 24.450321260214537, ""n_particles"": 786, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.27122052606047925, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.5412970546908981, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.027895452479252625}",48
sample_000049,C07_StraightLine,1309,"{""angle_deg"": 35.3560156705048, ""n_particles"": 1309, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.1873457050193656, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7778262433578214, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.023370556415396017}",49
sample_000050,C01_Uniform,988,"{""n_particles"": 988, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",50
sample_000051,C04_Sector_Edge,1231,"{""angle_center_rad"": 0.10277645438447591, ""angle_width_deg"": 39.41328692241441, ""edge_width_ratio"": 0.2220573106888618, ""n_particles"": 1231, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.933245923536038, ""radial_beta_beta"": 2.04931583086306, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 6.444991804084749, ""wafer_radius_mm"": 150.0}",51
sample_000052,C11_Hotspot_Elliptic,1087,"{""center_angle"": ""random"", ""center_angle_rad"": 2.701500132496692, ""center_radius_ratio"": 0.7203707226446706, ""mode"": ""random"", ""n_particles"": 1087, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.2862675817734964, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10874675666201919, ""sigma_y_ratio"": 0.06408690703298933, ""wafer_radius_mm"": 150.0}",52
sample_000053,C07_StraightLine,1059,"{""angle_deg"": 20.368590918596638, ""n_particles"": 1059, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.017860536126529825, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7741083225784104, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04363247113804135}",53
sample_000054,C04_Sector_Edge,520,"{""angle_center_rad"": 4.543963431526713, ""angle_width_deg"": 84.71465804919501, ""edge_width_ratio"": 0.2993846493254935, ""n_particles"": 520, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.530490704292169, ""radial_beta_beta"": 1.5187266595170361, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 1.4012237867088622, ""wafer_radius_mm"": 150.0}",54
sample_000055,C01_Uniform,1418,"{""n_particles"": 1418, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",55
sample_000056,C04_Sector_Edge,1183,"{""angle_center_rad"": 5.124825244711509, ""angle_width_deg"": 56.89318625169258, ""edge_width_ratio"": 0.05435908686856265, ""n_particles"": 1183, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.8193423047138388, ""radial_beta_beta"": 1.8428193012495668, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 1.8962299786662788, ""wafer_radius_mm"": 150.0}",56
sample_000057,C01_Uniform,1225,"{""n_particles"": 1225, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",57
sample_000058,C03_Ring,831,"{""n_particles"": 831, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.4298010247941639, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.1703294893174578}",58
sample_000059,C07_StraightLine,636,"{""angle_deg"": 44.38246853428598, ""n_particles"": 636, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.1171459615056959, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.5184582090861216, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.02415202756153571}",59
sample_000060,C07_StraightLine,1097,"{""angle_deg"": 171.9544637878867, ""n_particles"": 1097, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.16212963983745768, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7245678685593622, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.020963867919720835}",60
sample_000061,C07_StraightLine,571,"{""angle_deg"": 102.91344835764608, ""n_particles"": 571, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.0019946211713652295, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.821844355418047, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.023805204727535178}",61
sample_000062,C04_Sector_Edge,556,"{""angle_center_rad"": 5.23276773425409, ""angle_width_deg"": 41.22896257360692, ""edge_width_ratio"": 0.22849508874886015, ""n_particles"": 556, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.654152058419433, ""radial_beta_beta"": 0.9263467523107317, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 1.7131913048329883, ""wafer_radius_mm"": 150.0}",62
sample_000063,C07_StraightLine,1478,"{""angle_deg"": 28.98822819513087, ""n_particles"": 1478, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.0749455600383031, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7624603316128573, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03231402722075942}",63
sample_000064,C01_Uniform,651,"{""n_particles"": 651, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",64
sample_000065,C03_Ring,1161,"{""n_particles"": 1161, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.44232734298447046, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.09746768899525121}",65
sample_000066,C04_Sector_Edge,1432,"{""angle_center_rad"": 3.666016883458321, ""angle_width_deg"": 38.19682090731341, ""edge_width_ratio"": 0.27446856206766623, ""n_particles"": 1432, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.5885504813528293, ""radial_beta_beta"": 2.3049106236592563, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 9.682511873516539, ""wafer_radius_mm"": 150.0}",66
sample_000067,C03_Ring,537,"{""n_particles"": 537, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6473836506499229, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.12254302207199091}",67
sample_000068,C11_Hotspot_Elliptic,1461,"{""center_angle"": ""random"", ""center_angle_rad"": 4.551236252872115, ""center_radius_ratio"": 0.41279496675230687, ""mode"": ""random"", ""n_particles"": 1461, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.481723547392424, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.0898056638480037, ""sigma_y_ratio"": 0.07521068463894358, ""wafer_radius_mm"": 150.0}",68
sample_000069,C03_Ring,738,"{""n_particles"": 738, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.41014715305731525, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.18433456050429892}",69
sample_000070,C11_Hotspot_Elliptic,1352,"{""center_angle"": ""random"", ""center_angle_rad"": 5.055281520800807, ""center_radius_ratio"": 0.0475595862897091, ""mode"": ""random"", ""n_particles"": 1352, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.0026612046383425, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.03427257217846197, ""sigma_y_ratio"": 0.06281877434867394, ""wafer_radius_mm"": 150.0}",70
sample_000071,C07_StraightLine,829,"{""angle_deg"": 118.43753638430998, ""n_particles"": 829, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.25082605581253076, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.4805631204171902, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01011645241107116}",71
sample_000072,C01_Uniform,1231,"{""n_particles"": 1231, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",72
sample_000073,C11_Hotspot_Elliptic,859,"{""center_angle"": ""random"", ""center_angle_rad"": 3.6777755516018655, ""center_radius_ratio"": 0.8743220981057168, ""mode"": ""random"", ""n_particles"": 859, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.3524937307187612, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08551138962889379, ""sigma_y_ratio"": 0.04021705439365373, ""wafer_radius_mm"": 150.0}",73
sample_000074,C11_Hotspot_Elliptic,1160,"{""center_angle"": ""random"", ""center_angle_rad"": 0.741845702999113, ""center_radius_ratio"": 0.7770908196904545, ""mode"": ""random"", ""n_particles"": 1160, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.9826021970708405, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.03953885526423147, ""sigma_y_ratio"": 0.02744156244611854, ""wafer_radius_mm"": 150.0}",74
sample_000075,C07_StraightLine,1218,"{""angle_deg"": 154.50035387619627, ""n_particles"": 1218, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.024037727510386464, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.573758071708438, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.024431023459302766}",75
