sample_id,split,label,n_particles
sample_000073,train,C09_Spiral,53
sample_000074,train,C10_Hotspot_Iso,91
sample_000075,train,C08_CurvedScratch,98
sample_000076,train,C03_Ring,39
sample_000077,train,C01_Uniform,80
sample_000078,train,C06_RadialLines,110
sample_000079,train,C01_Uniform,147
sample_000080,val,C05_Sector_Internal,26
sample_000081,val,C08_CurvedScratch,144
sample_000082,train,C10_Hotspot_Iso,184
sample_000083,train,C08_CurvedScratch,131
sample_000084,train,C07_StraightLine,182
sample_000085,train,C02_EdgeBiased,137
sample_000086,train,C06_RadialLines,64
sample_000087,val,C05_Sector_Internal,190
sample_000088,train,C05_Sector_Internal,178
sample_000089,train,C03_Ring,135
sample_000090,val,C09_Spiral,147
sample_000091,train,C07_StraightLine,186
sample_000092,train,C03_Ring,182
sample_000093,train,C02_EdgeBiased,43
sample_000094,train,C05_Sector_Internal,90
sample_000095,test,C01_Uniform,146
sample_000096,train,C01_Uniform,177
sample_000097,val,C07_StraightLine,18
sample_000098,train,C10_Hotspot_Iso,143
sample_000099,train,C10_Hotspot_Iso,173
sample_000100,train,C01_Uniform,92
sample_000101,train,C01_Uniform,178
sample_000102,train,C07_StraightLine,18
sample_000103,train,C06_RadialLines,116
sample_000104,val,C09_Spiral,133
sample_000105,train,C03_Ring,72
sample_000106,train,C06_RadialLines,94
sample_000107,val,C05_Sector_Internal,68
sample_000108,train,C09_Spiral,35
sample_000109,val,C06_RadialLines,165
sample_000110,train,C03_Ring,66
sample_000111,test,C01_Uniform,99
sample_000112,test,C05_Sector_Internal,196
sample_000113,train,C03_Ring,41
sample_000114,train,C09_Spiral,30
sample_000115,train,C02_EdgeBiased,39
sample_000116,val,C01_Uniform,122
sample_000117,test,C08_CurvedScratch,44
sample_000118,train,C05_Sector_Internal,131
sample_000119,train,C08_CurvedScratch,108
sample_000120,train,C04_Sector_Edge,171
sample_000121,train,C09_Spiral,178
sample_000122,train,C08_CurvedScratch,180
sample_000123,train,C09_Spiral,164
sample_000124,test,C03_Ring,25
sample_000125,train,C06_RadialLines,66
sample_000126,train,C05_Sector_Internal,163
sample_000127,train,C07_StraightLine,44
sample_000128,train,C08_CurvedScratch,33
sample_000129,train,C10_Hotspot_Iso,194
sample_000130,train,C08_CurvedScratch,73
sample_000131,train,C06_RadialLines,62
sample_000132,train,C04_Sector_Edge,121
sample_000133,train,C01_Uniform,10
sample_000134,train,C01_Uniform,119
sample_000135,train,C06_RadialLines,190
sample_000136,train,C02_EdgeBiased,116
sample_000137,train,C07_StraightLine,158
sample_000138,train,C02_EdgeBiased,32
sample_000139,train,C04_Sector_Edge,139
sample_000140,train,C07_StraightLine,102
sample_000141,test,C10_Hotspot_Iso,137
sample_000142,train,C03_Ring,174
sample_000143,test,C01_Uniform,181
sample_000144,test,C07_StraightLine,26
sample_000145,train,C05_Sector_Internal,58
sample_000146,train,C09_Spiral,188
sample_000147,train,C07_StraightLine,12
sample_000148,train,C06_RadialLines,16
sample_000149,train,C10_Hotspot_Iso,153
sample_000150,train,C09_Spiral,79
sample_000151,train,C10_Hotspot_Iso,178
sample_000152,train,C06_RadialLines,200
sample_000153,train,C07_StraightLine,67
sample_000154,train,C02_EdgeBiased,68
sample_000155,train,C10_Hotspot_Iso,163
sample_000156,val,C04_Sector_Edge,199
sample_000157,test,C02_EdgeBiased,25
sample_000158,train,C06_RadialLines,52
sample_000159,test,C09_Spiral,99
sample_000160,train,C04_Sector_Edge,42
sample_000161,train,C08_CurvedScratch,16
sample_000162,train,C05_Sector_Internal,26
sample_000163,train,C01_Uniform,189
sample_000164,train,C09_Spiral,140
sample_000165,train,C05_Sector_Internal,101
sample_000166,train,C07_StraightLine,185
sample_000167,train,C09_Spiral,176
sample_000168,train,C07_StraightLine,83
sample_000169,train,C09_Spiral,168
sample_000170,train,C10_Hotspot_Iso,48
sample_000171,train,C03_Ring,92
sample_000172,train,C02_EdgeBiased,181
sample_000173,train,C01_Uniform,23
sample_000174,val,C07_StraightLine,162
sample_000175,train,C08_CurvedScratch,194
sample_000176,train,C09_Spiral,171
sample_000177,train,C05_Sector_Internal,117
sample_000178,train,C07_StraightLine,57
sample_000179,train,C10_Hotspot_Iso,11
sample_000180,train,C01_Uniform,97
sample_000181,train,C04_Sector_Edge,79
sample_000182,test,C04_Sector_Edge,162
sample_000183,train,C04_Sector_Edge,178
sample_000184,train,C09_Spiral,163
sample_000185,test,C05_Sector_Internal,60
sample_000186,train,C06_RadialLines,36
sample_000187,test,C09_Spiral,103
sample_000188,test,C07_StraightLine,127
sample_000189,train,C06_RadialLines,24
sample_000190,train,C01_Uniform,83
sample_000191,train,C02_EdgeBiased,123
sample_000192,train,C06_RadialLines,184
sample_000193,val,C10_Hotspot_Iso,136
sample_000194,train,C09_Spiral,130
sample_000195,val,C01_Uniform,93
sample_000196,train,C03_Ring,14
sample_000197,train,C10_Hotspot_Iso,79
sample_000198,train,C10_Hotspot_Iso,90
sample_000199,train,C08_CurvedScratch,179
sample_000200,val,C06_RadialLines,81
sample_000201,train,C03_Ring,82
sample_000202,val,C01_Uniform,152
sample_000203,test,C02_EdgeBiased,197
sample_000204,val,C08_CurvedScratch,159
sample_000205,test,C06_RadialLines,43
sample_000206,train,C10_Hotspot_Iso,56
sample_000207,train,C10_Hotspot_Iso,61
sample_000208,train,C04_Sector_Edge,120
sample_000209,val,C05_Sector_Internal,167
sample_000210,train,C02_EdgeBiased,84
sample_000211,train,C03_Ring,87
sample_000212,val,C01_Uniform,91
sample_000213,val,C06_RadialLines,28
sample_000214,train,C03_Ring,157
sample_000215,test,C07_StraightLine,126
sample_000216,train,C01_Uniform,80
sample_000217,train,C05_Sector_Internal,127
sample_000218,train,C09_Spiral,155
sample_000219,val,C09_Spiral,154
sample_000220,train,C05_Sector_Internal,25
sample_000221,train,C08_CurvedScratch,154
sample_000222,train,C08_CurvedScratch,115
sample_000223,train,C03_Ring,71
sample_000224,val,C02_EdgeBiased,176
sample_000225,test,C01_Uniform,83
sample_000226,train,C04_Sector_Edge,98
sample_000227,train,C01_Uniform,32
sample_000228,train,C05_Sector_Internal,33
sample_000229,train,C05_Sector_Internal,97
sample_000230,train,C08_CurvedScratch,42
sample_000231,val,C04_Sector_Edge,64
sample_000232,val,C02_EdgeBiased,18
sample_000233,train,C06_RadialLines,43
sample_000234,train,C10_Hotspot_Iso,171
sample_000235,val,C01_Uniform,152
sample_000236,val,C09_Spiral,77
sample_000237,train,C04_Sector_Edge,15
sample_000238,train,C01_Uniform,172
sample_000239,train,C10_Hotspot_Iso,11
sample_000240,test,C07_StraightLine,200
sample_000241,train,C04_Sector_Edge,38
sample_000242,train,C04_Sector_Edge,166
sample_000243,train,C08_CurvedScratch,32
sample_000244,train,C03_Ring,163
sample_000245,train,C01_Uniform,103
sample_000246,train,C06_RadialLines,39
sample_000247,train,C03_Ring,193
sample_000248,train,C06_RadialLines,50
sample_000249,train,C10_Hotspot_Iso,19
sample_000250,train,C02_EdgeBiased,46
sample_000251,train,C01_Uniform,72
sample_000252,train,C01_Uniform,191
sample_000253,train,C08_CurvedScratch,14
sample_000254,train,C04_Sector_Edge,180
sample_000255,train,C10_Hotspot_Iso,61
sample_000256,train,C08_CurvedScratch,64
sample_000257,train,C01_Uniform,128
sample_000258,train,C01_Uniform,189
sample_000259,train,C07_StraightLine,28
sample_000260,train,C10_Hotspot_Iso,167
sample_000261,test,C09_Spiral,53
sample_000262,train,C08_CurvedScratch,113
sample_000263,test,C09_Spiral,25
sample_000264,train,C09_Spiral,83
sample_000265,train,C02_EdgeBiased,35
sample_000266,train,C10_Hotspot_Iso,78
sample_000267,val,C09_Spiral,182
sample_000268,train,C07_StraightLine,10
sample_000269,test,C04_Sector_Edge,22
sample_000270,train,C06_RadialLines,175
sample_000271,train,C01_Uniform,171
sample_000272,train,C09_Spiral,42
sample_000273,train,C07_StraightLine,21
sample_000274,train,C02_EdgeBiased,159
sample_000275,train,C01_Uniform,200
sample_000276,train,C04_Sector_Edge,128
sample_000277,train,C08_CurvedScratch,132
sample_000278,train,C03_Ring,182
sample_000279,train,C06_RadialLines,69
sample_000280,test,C03_Ring,122
sample_000281,train,C09_Spiral,105
sample_000282,train,C10_Hotspot_Iso,111
sample_000283,train,C06_RadialLines,190
sample_000284,train,C07_StraightLine,37
sample_000285,train,C03_Ring,71
sample_000286,train,C08_CurvedScratch,79
sample_000287,train,C05_Sector_Internal,86
sample_000288,train,C09_Spiral,66
sample_000289,train,C08_CurvedScratch,43
sample_000290,test,C07_StraightLine,180
sample_000291,train,C06_RadialLines,190
sample_000292,train,C09_Spiral,173
sample_000293,train,C07_StraightLine,142
sample_000294,train,C05_Sector_Internal,136
sample_000295,train,C01_Uniform,37
sample_000296,train,C05_Sector_Internal,81
sample_000297,test,C01_Uniform,137
sample_000298,train,C01_Uniform,50
sample_000299,train,C08_CurvedScratch,58
sample_000300,train,C02_EdgeBiased,111
sample_000301,train,C05_Sector_Internal,171
sample_000302,train,C09_Spiral,60
sample_000303,train,C06_RadialLines,59
sample_000304,train,C04_Sector_Edge,175
sample_000305,train,C03_Ring,171
sample_000306,train,C10_Hotspot_Iso,146
sample_000307,train,C07_StraightLine,23
sample_000308,train,C03_Ring,199
sample_000309,train,C06_RadialLines,15
sample_000310,test,C03_Ring,67
sample_000311,train,C06_RadialLines,121
sample_000312,train,C07_StraightLine,199
sample_000313,train,C05_Sector_Internal,90
sample_000314,val,C06_RadialLines,31
sample_000315,train,C07_StraightLine,46
sample_000316,train,C06_RadialLines,85
sample_000317,train,C01_Uniform,156
sample_000318,train,C04_Sector_Edge,11
sample_000319,train,C07_StraightLine,167
sample_000320,train,C02_EdgeBiased,134
sample_000321,train,C10_Hotspot_Iso,103
sample_000322,train,C08_CurvedScratch,90
sample_000323,train,C02_EdgeBiased,126
sample_000324,train,C07_StraightLine,121
sample_000325,train,C06_RadialLines,107
sample_000326,train,C07_StraightLine,153
sample_000327,train,C06_RadialLines,114
sample_000328,train,C10_Hotspot_Iso,119
sample_000329,train,C07_StraightLine,40
sample_000330,train,C05_Sector_Internal,194
sample_000331,test,C06_RadialLines,87
sample_000332,train,C10_Hotspot_Iso,71
sample_000333,train,C07_StraightLine,178
sample_000334,train,C09_Spiral,74
sample_000335,train,C10_Hotspot_Iso,55
sample_000336,train,C09_Spiral,105
sample_000337,train,C01_Uniform,173
sample_000338,train,C10_Hotspot_Iso,11
sample_000339,train,C04_Sector_Edge,150
sample_000340,train,C10_Hotspot_Iso,164
sample_000341,train,C10_Hotspot_Iso,151
sample_000342,test,C05_Sector_Internal,176
sample_000343,train,C05_Sector_Internal,192
sample_000344,train,C09_Spiral,67
sample_000345,train,C04_Sector_Edge,27
sample_000346,train,C04_Sector_Edge,121
sample_000347,train,C03_Ring,28
sample_000348,val,C10_Hotspot_Iso,40
sample_000349,train,C06_RadialLines,176
sample_000350,train,C05_Sector_Internal,143
sample_000351,test,C07_StraightLine,123
sample_000352,train,C06_RadialLines,56
sample_000353,val,C07_StraightLine,82
sample_000354,train,C03_Ring,43
sample_000355,train,C03_Ring,175
sample_000356,train,C02_EdgeBiased,50
sample_000357,train,C06_RadialLines,34
sample_000358,train,C06_RadialLines,14
sample_000359,train,C08_CurvedScratch,109
sample_000360,train,C10_Hotspot_Iso,153
sample_000361,train,C03_Ring,167
sample_000362,train,C10_Hotspot_Iso,197
sample_000363,train,C07_StraightLine,164
sample_000364,train,C03_Ring,124
sample_000365,train,C03_Ring,129
sample_000366,train,C02_EdgeBiased,157
sample_000367,train,C05_Sector_Internal,44
sample_000368,train,C07_StraightLine,156
sample_000369,train,C07_StraightLine,169
sample_000370,train,C02_EdgeBiased,102
sample_000371,train,C05_Sector_Internal,17
sample_000372,train,C09_Spiral,26
sample_000373,train,C04_Sector_Edge,115
sample_000374,train,C03_Ring,133
sample_000375,train,C04_Sector_Edge,121
sample_000376,test,C07_StraightLine,132
sample_000377,train,C04_Sector_Edge,70
sample_000378,train,C01_Uniform,198
sample_000379,val,C10_Hotspot_Iso,33
sample_000380,train,C03_Ring,165
sample_000381,train,C10_Hotspot_Iso,161
sample_000382,train,C09_Spiral,31
sample_000383,val,C07_StraightLine,192
sample_000384,train,C06_RadialLines,188
sample_000385,train,C04_Sector_Edge,198
sample_000386,train,C01_Uniform,52
sample_000387,val,C03_Ring,164
sample_000388,train,C03_Ring,50
sample_000389,train,C08_CurvedScratch,28
sample_000390,train,C08_CurvedScratch,167
sample_000391,val,C06_RadialLines,134
sample_000392,train,C10_Hotspot_Iso,95
sample_000393,train,C05_Sector_Internal,97
sample_000394,train,C01_Uniform,12
sample_000395,train,C10_Hotspot_Iso,29
sample_000396,train,C02_EdgeBiased,89
sample_000397,train,C01_Uniform,26
sample_000398,train,C02_EdgeBiased,104
sample_000399,train,C01_Uniform,61
sample_000400,train,C03_Ring,47
sample_000401,val,C05_Sector_Internal,17
sample_000402,train,C08_CurvedScratch,15
sample_000403,train,C04_Sector_Edge,82
sample_000404,train,C06_RadialLines,128
sample_000405,test,C05_Sector_Internal,159
sample_000406,train,C01_Uniform,76
sample_000407,train,C08_CurvedScratch,88
sample_000408,train,C04_Sector_Edge,100
sample_000409,val,C03_Ring,117
sample_000410,train,C03_Ring,63
sample_000411,test,C03_Ring,137
sample_000412,val,C02_EdgeBiased,62
sample_000413,train,C06_RadialLines,86
sample_000414,test,C10_Hotspot_Iso,77
sample_000415,train,C10_Hotspot_Iso,173
sample_000416,train,C05_Sector_Internal,104
sample_000417,train,C01_Uniform,160
sample_000418,train,C08_CurvedScratch,127
sample_000419,train,C03_Ring,45
sample_000420,train,C04_Sector_Edge,45
sample_000421,train,C09_Spiral,110
sample_000422,val,C07_StraightLine,123
sample_000423,test,C02_EdgeBiased,43
sample_000424,train,C05_Sector_Internal,156
sample_000425,train,C04_Sector_Edge,94
sample_000426,train,C10_Hotspot_Iso,74
sample_000427,test,C04_Sector_Edge,44
sample_000428,train,C02_EdgeBiased,19
sample_000429,train,C05_Sector_Internal,157
sample_000430,val,C08_CurvedScratch,111
sample_000431,train,C02_EdgeBiased,145
sample_000432,train,C10_Hotspot_Iso,88
sample_000433,train,C03_Ring,93
sample_000434,test,C06_RadialLines,98
sample_000435,train,C08_CurvedScratch,189
sample_000436,test,C02_EdgeBiased,20
sample_000437,train,C07_StraightLine,103
sample_000438,train,C02_EdgeBiased,165
sample_000439,train,C03_Ring,37
sample_000440,val,C02_EdgeBiased,32
sample_000441,train,C02_EdgeBiased,32
sample_000442,test,C05_Sector_Internal,70
sample_000443,train,C09_Spiral,193
sample_000444,test,C07_StraightLine,80
sample_000445,train,C01_Uniform,16
sample_000446,train,C08_CurvedScratch,26
sample_000447,train,C08_CurvedScratch,59
sample_000448,train,C02_EdgeBiased,155
sample_000449,test,C05_Sector_Internal,101
sample_000450,train,C08_CurvedScratch,155
sample_000451,train,C03_Ring,172
sample_000452,train,C07_StraightLine,80
sample_000453,train,C07_StraightLine,131
sample_000454,train,C04_Sector_Edge,45
sample_000455,val,C02_EdgeBiased,98
sample_000456,val,C06_RadialLines,32
sample_000457,train,C01_Uniform,91
sample_000458,train,C07_StraightLine,140
sample_000459,train,C05_Sector_Internal,74
sample_000460,test,C02_EdgeBiased,88
sample_000461,train,C03_Ring,133
sample_000462,train,C02_EdgeBiased,108
sample_000463,train,C06_RadialLines,70
sample_000464,train,C04_Sector_Edge,194
sample_000465,train,C09_Spiral,165
sample_000466,train,C07_StraightLine,77
sample_000467,train,C06_RadialLines,20
sample_000468,train,C03_Ring,106
sample_000469,train,C07_StraightLine,197
sample_000470,train,C04_Sector_Edge,120
sample_000471,train,C01_Uniform,67
sample_000472,train,C05_Sector_Internal,120
sample_000473,train,C05_Sector_Internal,121
sample_000474,train,C05_Sector_Internal,77
sample_000475,train,C07_StraightLine,82
sample_000476,test,C04_Sector_Edge,45
sample_000477,val,C06_RadialLines,44
sample_000478,test,C03_Ring,138
sample_000479,train,C09_Spiral,17
sample_000480,train,C10_Hotspot_Iso,136
sample_000481,train,C09_Spiral,12
sample_000482,test,C06_RadialLines,156
sample_000483,train,C09_Spiral,114
sample_000484,train,C09_Spiral,100
sample_000485,train,C07_StraightLine,102
sample_000486,train,C06_RadialLines,73
sample_000487,val,C06_RadialLines,189
sample_000488,train,C05_Sector_Internal,173
sample_000489,train,C02_EdgeBiased,167
sample_000490,train,C06_RadialLines,194
sample_000491,train,C06_RadialLines,102
sample_000492,val,C06_RadialLines,195
sample_000493,train,C04_Sector_Edge,31
sample_000494,val,C07_StraightLine,140
sample_000495,val,C07_StraightLine,164
sample_000496,test,C03_Ring,40
sample_000497,train,C06_RadialLines,181
sample_000498,train,C03_Ring,99
sample_000499,test,C02_EdgeBiased,99
sample_000500,train,C04_Sector_Edge,200
sample_000501,train,C08_CurvedScratch,143
sample_000502,train,C05_Sector_Internal,141
sample_000503,train,C06_RadialLines,49
sample_000504,train,C04_Sector_Edge,158
sample_000505,val,C09_Spiral,33
sample_000506,train,C03_Ring,124
sample_000507,train,C04_Sector_Edge,142
sample_000508,train,C06_RadialLines,156
sample_000509,train,C07_StraightLine,200
sample_000510,train,C04_Sector_Edge,159
sample_000511,test,C07_StraightLine,97
sample_000512,test,C04_Sector_Edge,74
sample_000513,train,C04_Sector_Edge,14
sample_000514,train,C02_EdgeBiased,128
sample_000515,train,C09_Spiral,167
sample_000516,train,C05_Sector_Internal,35
sample_000517,train,C08_CurvedScratch,136
sample_000518,train,C06_RadialLines,73
sample_000519,train,C02_EdgeBiased,53
sample_000520,test,C06_RadialLines,155
sample_000521,train,C09_Spiral,133
sample_000522,train,C04_Sector_Edge,84
sample_000523,train,C06_RadialLines,142
sample_000524,train,C03_Ring,107
sample_000525,train,C03_Ring,185
sample_000526,train,C02_EdgeBiased,87
sample_000527,train,C03_Ring,181
sample_000528,train,C08_CurvedScratch,69
sample_000529,train,C10_Hotspot_Iso,150
sample_000530,train,C07_StraightLine,78
sample_000531,train,C02_EdgeBiased,179
sample_000532,train,C05_Sector_Internal,163
sample_000533,train,C05_Sector_Internal,168
sample_000534,train,C09_Spiral,145
sample_000535,test,C09_Spiral,155
sample_000536,train,C06_RadialLines,88
sample_000537,test,C05_Sector_Internal,177
sample_000538,train,C03_Ring,23
sample_000539,train,C02_EdgeBiased,34
sample_000540,train,C05_Sector_Internal,176
sample_000541,val,C06_RadialLines,182
sample_000542,train,C08_CurvedScratch,152
sample_000543,train,C03_Ring,150
sample_000544,train,C01_Uniform,27
sample_000545,train,C10_Hotspot_Iso,90
sample_000546,train,C08_CurvedScratch,69
sample_000547,test,C08_CurvedScratch,183
sample_000548,train,C07_StraightLine,191
sample_000549,train,C09_Spiral,162
sample_000550,train,C10_Hotspot_Iso,77
sample_000551,test,C02_EdgeBiased,144
sample_000552,train,C04_Sector_Edge,100
sample_000553,train,C08_CurvedScratch,31
sample_000554,train,C05_Sector_Internal,76
sample_000555,train,C08_CurvedScratch,77
sample_000556,val,C01_Uniform,16
sample_000557,train,C07_StraightLine,198
sample_000558,train,C08_CurvedScratch,103
sample_000559,test,C09_Spiral,194
sample_000560,val,C01_Uniform,126
sample_000561,train,C09_Spiral,200
sample_000562,train,C09_Spiral,199
sample_000563,train,C07_StraightLine,17
sample_000564,test,C10_Hotspot_Iso,140
sample_000565,train,C04_Sector_Edge,63
sample_000566,train,C03_Ring,91
sample_000567,train,C03_Ring,165
sample_000568,test,C06_RadialLines,111
sample_000569,train,C05_Sector_Internal,131
sample_000570,train,C02_EdgeBiased,153
sample_000571,train,C10_Hotspot_Iso,143
sample_000572,train,C07_StraightLine,10
sample_000573,test,C08_CurvedScratch,69
sample_000574,train,C07_StraightLine,116
sample_000575,train,C07_StraightLine,17
sample_000576,train,C02_EdgeBiased,132
sample_000577,train,C01_Uniform,63
sample_000578,train,C03_Ring,175
sample_000579,val,C08_CurvedScratch,165
sample_000580,train,C02_EdgeBiased,122
sample_000581,train,C02_EdgeBiased,88
sample_000582,train,C03_Ring,105
sample_000583,train,C03_Ring,79
sample_000584,train,C02_EdgeBiased,30
sample_000585,train,C03_Ring,60
sample_000586,train,C06_RadialLines,40
sample_000587,train,C08_CurvedScratch,137
sample_000588,test,C03_Ring,78
sample_000589,train,C09_Spiral,100
sample_000590,train,C06_RadialLines,80
sample_000591,train,C09_Spiral,27
sample_000592,val,C04_Sector_Edge,125
sample_000593,train,C05_Sector_Internal,117
sample_000594,train,C02_EdgeBiased,111
sample_000595,val,C05_Sector_Internal,173
sample_000596,train,C10_Hotspot_Iso,178
sample_000597,train,C02_EdgeBiased,114
sample_000598,train,C02_EdgeBiased,116
sample_000599,train,C02_EdgeBiased,164
sample_000600,test,C04_Sector_Edge,42
sample_000601,val,C07_StraightLine,84
sample_000602,test,C07_StraightLine,198
sample_000603,val,C03_Ring,41
sample_000604,train,C03_Ring,59
sample_000605,test,C10_Hotspot_Iso,54
sample_000606,train,C07_StraightLine,162
sample_000607,train,C08_CurvedScratch,146
sample_000608,train,C03_Ring,120
sample_000609,train,C09_Spiral,12
sample_000610,train,C07_StraightLine,44
sample_000611,train,C05_Sector_Internal,63
sample_000612,train,C06_RadialLines,14
sample_000613,train,C09_Spiral,127
sample_000614,train,C03_Ring,116
sample_000615,train,C03_Ring,171
sample_000616,train,C04_Sector_Edge,200
sample_000617,train,C08_CurvedScratch,57
sample_000618,train,C02_EdgeBiased,164
sample_000619,train,C09_Spiral,133
sample_000620,train,C07_StraightLine,161
sample_000621,train,C09_Spiral,74
sample_000622,train,C10_Hotspot_Iso,186
sample_000623,train,C05_Sector_Internal,195
sample_000624,train,C06_RadialLines,185
sample_000625,train,C06_RadialLines,49
sample_000626,train,C07_StraightLine,98
sample_000627,train,C09_Spiral,149
sample_000628,train,C04_Sector_Edge,59
sample_000629,test,C02_EdgeBiased,27
sample_000630,train,C01_Uniform,189
sample_000631,train,C08_CurvedScratch,82
sample_000632,train,C07_StraightLine,139
sample_000633,val,C04_Sector_Edge,57
sample_000634,train,C08_CurvedScratch,59
sample_000635,train,C06_RadialLines,24
sample_000636,train,C02_EdgeBiased,109
sample_000637,train,C03_Ring,138
sample_000638,train,C10_Hotspot_Iso,133
sample_000639,train,C02_EdgeBiased,75
sample_000640,train,C10_Hotspot_Iso,187
sample_000641,train,C09_Spiral,81
sample_000642,train,C09_Spiral,184
sample_000643,train,C10_Hotspot_Iso,61
sample_000644,train,C07_StraightLine,117
sample_000645,train,C10_Hotspot_Iso,77
sample_000646,train,C05_Sector_Internal,15
sample_000647,train,C08_CurvedScratch,51
sample_000648,train,C08_CurvedScratch,96
sample_000649,train,C02_EdgeBiased,119
sample_000650,train,C01_Uniform,95
sample_000651,train,C03_Ring,105
sample_000652,train,C08_CurvedScratch,44
sample_000653,train,C05_Sector_Internal,199
sample_000654,train,C09_Spiral,113
sample_000655,train,C02_EdgeBiased,79
sample_000656,val,C10_Hotspot_Iso,81
sample_000657,train,C10_Hotspot_Iso,161
sample_000658,val,C01_Uniform,128
sample_000659,test,C03_Ring,95
sample_000660,train,C06_RadialLines,167
sample_000661,train,C09_Spiral,69
sample_000662,train,C05_Sector_Internal,18
sample_000663,test,C03_Ring,49
sample_000664,train,C10_Hotspot_Iso,157
sample_000665,train,C07_StraightLine,162
sample_000666,train,C04_Sector_Edge,86
sample_000667,train,C04_Sector_Edge,181
sample_000668,train,C04_Sector_Edge,105
sample_000669,train,C08_CurvedScratch,129
sample_000670,train,C06_RadialLines,54
sample_000671,train,C04_Sector_Edge,104
sample_000672,train,C01_Uniform,182
sample_000673,train,C10_Hotspot_Iso,171
sample_000674,train,C08_CurvedScratch,45
sample_000675,test,C01_Uniform,63
sample_000676,test,C06_RadialLines,74
sample_000677,train,C07_StraightLine,133
sample_000678,train,C09_Spiral,95
sample_000679,train,C05_Sector_Internal,50
sample_000680,train,C10_Hotspot_Iso,158
sample_000681,train,C09_Spiral,178
sample_000682,train,C03_Ring,151
sample_000683,train,C07_StraightLine,172
sample_000684,train,C02_EdgeBiased,168
sample_000685,train,C07_StraightLine,168
sample_000686,train,C10_Hotspot_Iso,49
sample_000687,train,C01_Uniform,191
sample_000688,train,C05_Sector_Internal,163
sample_000689,train,C07_StraightLine,80
sample_000690,train,C01_Uniform,190
sample_000691,train,C06_RadialLines,186
sample_000692,train,C07_StraightLine,45
sample_000693,train,C01_Uniform,198
sample_000694,test,C03_Ring,118
sample_000695,val,C01_Uniform,30
sample_000696,train,C08_CurvedScratch,113
sample_000697,train,C02_EdgeBiased,192
sample_000698,train,C10_Hotspot_Iso,16
sample_000699,train,C10_Hotspot_Iso,181
sample_000700,train,C06_RadialLines,16
sample_000701,train,C04_Sector_Edge,62
sample_000702,train,C01_Uniform,159
sample_000703,train,C04_Sector_Edge,75
sample_000704,train,C05_Sector_Internal,160
sample_000705,train,C04_Sector_Edge,14
sample_000706,train,C01_Uniform,188
sample_000707,train,C04_Sector_Edge,145
