sample_id,label,size_model,size_params_json,n_particles,pattern_params,seed_offset
sample_000010,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.7994423991063426, ""per_sample"": true, ""sigma_log"": 0.3161001091024041}",158,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 1.1958444943871311, ""arc_radius_ratio"": 0.46327869666868415, ""n_particles"": 158, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.8481094227788466, ""span_rad"": 0.6396561462241118, ""width_norm"": 0.06325766978713578}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 108.22409145782453, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.05118331153904145}",10
sample_000011,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.651290018746613, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.08368892433094138}",15,"{""center_angle"": ""random"", ""center_angle_rad"": 4.039394876967346, ""center_radius_ratio"": 0.3577332578379091, ""mode"": ""random"", ""n_particles"": 15, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 6.054969839025903, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.0841345397840944, ""sigma_y_ratio"": 0.013672655439029268, ""wafer_radius_mm"": 150.0}",11
sample_000012,C03_Ring,weibull,"{""k"": 2.403858169119826, ""lambda_um"": 0.3058636758113862, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",19,"{""n_particles"": 19, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7619445244191029, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.08277152234106092}",12
sample_000013,C03_Ring,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.6610429992479675, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.06274636051391702}",42,"{""n_particles"": 42, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8109001285957091, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04642121344728298}",13
sample_000014,C09_Spiral,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.8451144158613175, ""per_sample"": true, ""sigma_log"": 0.8336984624105939}",192,"{""end_r_ratio"": 0.7234446492798274, ""n_particles"": 192, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 26.949784003470285, ""width_norm"": 0.021278097171461022}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.17389790533875396, ""theta_max"": 18.65281616571548, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04763649160123246}",14
sample_000015,C02_EdgeBiased,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.5216519512510693, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.02573001759441292}",141,"{""edge_bias"": 1.3224832509849453, ""n_particles"": 141, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",15
sample_000016,C09_Spiral,pareto,"{""alpha"": 1.8338643451550503, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.06080152408342922}",11,"{""end_r_ratio"": 0.795793124048458, ""n_particles"": 11, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 23.871960805894076, ""width_norm"": 0.03417527820704085}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.012023312208725533, ""theta_max"": 6.3362469718652505, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03112228320479225}",16
sample_000017,C04_Sector_Edge,weibull,"{""k"": 2.6512457361615294, ""lambda_um"": 0.3638288262391911, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",15,"{""angle_center_rad"": 5.672064846212007, ""angle_width_deg"": 53.8999357881179, ""edge_width_ratio"": 0.2752309137501934, ""n_particles"": 15, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.36212972838918, ""radial_beta_beta"": 1.8838818163526543, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 0.5498332949362618, ""wafer_radius_mm"": 150.0}",17
sample_000018,C01_Uniform,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.24018072988993844, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.06456828144158433}",187,"{""n_particles"": 187, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",18
sample_000019,C01_Uniform,weibull,"{""k"": 0.740358981621088, ""lambda_um"": 0.49188203754502274, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",76,"{""n_particles"": 76, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",19
