sample_id,label,label_coarse,n_particles,pattern_params,seed_offset
sample_000020,C11_Hotspot_Elliptic,,611,"{""center_angle"": ""random"", ""center_angle_rad"": 2.0946365878616526, ""center_radius_ratio"": 0.16669314494210954, ""mode"": ""random"", ""n_particles"": 611, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.1793449974031264, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.1083038111596767, ""sigma_y_ratio"": 0.05112559711651162, ""wafer_radius_mm"": 150.0}",20
sample_000021,C01_Uniform,,713,"{""n_particles"": 713, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",21
sample_000022,C03_Ring,,1412,"{""n_particles"": 1412, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8524925059288748, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.1696611277518673}",22
sample_000023,C04_Sector_Edge,,1527,"{""angle_center_rad"": 4.144562446442234, ""angle_width_deg"": 40.63008917611599, ""edge_width_ratio"": 0.24023729509426328, ""n_particles"": 1527, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.1077288214161243, ""radial_beta_beta"": 0.9443150110229994, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 4.776642347536138, ""wafer_radius_mm"": 150.0}",23
sample_000024,C07_StraightLine,,519,"{""angle_deg"": 12.988354042349112, ""n_particles"": 519, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.275416833059811, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6170164297247338, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.049592531077303194}",24
sample_000025,random_uniform,random,1018,"{""n_particles"": 1018, ""name"": ""wafer_particles.pattern.random_uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",25
sample_000026,C11_Hotspot_Elliptic,,1267,"{""center_angle"": ""random"", ""center_angle_rad"": 1.6520990825929438, ""center_radius_ratio"": 0.32490474658972557, ""mode"": ""random"", ""n_particles"": 1267, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.234669136380991, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.11992983749008924, ""sigma_y_ratio"": 0.07332948375083805, ""wafer_radius_mm"": 150.0}",26
sample_000027,C03_Ring,,631,"{""n_particles"": 631, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6149563716128097, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15491714312824473}",27
sample_000028,C11_Hotspot_Elliptic,,1334,"{""center_angle"": ""random"", ""center_angle_rad"": 0.24351203909887262, ""center_radius_ratio"": 0.5122291860001379, ""mode"": ""random"", ""n_particles"": 1334, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.6078112783286485, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08692138541704231, ""sigma_y_ratio"": 0.05445766621116928, ""wafer_radius_mm"": 150.0}",28
sample_000029,C01_Uniform,,593,"{""n_particles"": 593, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",29
sample_000030,ring_narrow,ring,1292,"{""n_particles"": 1292, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",30
sample_000031,C01_Uniform,,1172,"{""n_particles"": 1172, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",31
sample_000032,C11_Hotspot_Elliptic,,894,"{""center_angle"": ""random"", ""center_angle_rad"": 1.7918652350265696, ""center_radius_ratio"": 0.5453521363789473, ""mode"": ""random"", ""n_particles"": 894, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.0929743331302486, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10876103657180851, ""sigma_y_ratio"": 0.0465548090652871, ""wafer_radius_mm"": 150.0}",32
sample_000033,C11_Hotspot_Elliptic,,685,"{""center_angle"": ""random"", ""center_angle_rad"": 2.8115785090520014, ""center_radius_ratio"": 0.5374076994468225, ""mode"": ""random"", ""n_particles"": 685, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.2397266893941559, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08265968149838271, ""sigma_y_ratio"": 0.015061924525403579, ""wafer_radius_mm"": 150.0}",33
sample_000034,C11_Hotspot_Elliptic,,885,"{""center_angle"": ""random"", ""center_angle_rad"": 5.5278558906654185, ""center_radius_ratio"": 0.7038010313546009, ""mode"": ""random"", ""n_particles"": 885, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.6397206298673597, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.07625657128457172, ""sigma_y_ratio"": 0.07146858817645217, ""wafer_radius_mm"": 150.0}",34
sample_000035,C04_Sector_Edge,,837,"{""angle_center_rad"": 0.8760348493200905, ""angle_width_deg"": 80.38092203778302, ""edge_width_ratio"": 0.09217405526654433, ""n_particles"": 837, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.417757586266845, ""radial_beta_beta"": 1.8283773312355414, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 8.267317584711861, ""wafer_radius_mm"": 150.0}",35
sample_000036,ring_wide,ring,993,"{""n_particles"": 993, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",36
sample_000037,ring_wide,ring,1486,"{""n_particles"": 1486, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",37
sample_000038,C01_Uniform,,1432,"{""n_particles"": 1432, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",38
sample_000039,C07_StraightLine,,1244,"{""angle_deg"": 132.6856548802053, ""n_particles"": 1244, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.03145348248216284, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7553941894592668, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.02939166769249454}",39
sample_000040,C11_Hotspot_Elliptic,,1493,"{""center_angle"": ""random"", ""center_angle_rad"": 0.3416156549804605, ""center_radius_ratio"": 0.7763178773299335, ""mode"": ""random"", ""n_particles"": 1493, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.09687400464808, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08273888002195057, ""sigma_y_ratio"": 0.019607427982908383, ""wafer_radius_mm"": 150.0}",40
sample_000041,C03_Ring,,1110,"{""n_particles"": 1110, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.40347400520626986, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.19723606854720196}",41
sample_000042,C04_Sector_Edge,,1026,"{""angle_center_rad"": 4.600430520773261, ""angle_width_deg"": 80.17536486744038, ""edge_width_ratio"": 0.27609823791271804, ""n_particles"": 1026, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.3643430510267764, ""radial_beta_beta"": 1.821457023642157, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 6.70176113484974, ""wafer_radius_mm"": 150.0}",42
sample_000043,C03_Ring,,1027,"{""n_particles"": 1027, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.710182053652746, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.093811349153454}",43
sample_000044,C01_Uniform,,581,"{""n_particles"": 581, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",44
sample_000045,C07_StraightLine,,703,"{""angle_deg"": 171.56112696333858, ""n_particles"": 703, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.06065477938892405, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6381799467480185, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04035658788647742}",45
sample_000046,C03_Ring,,744,"{""n_particles"": 744, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8345018823711605, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.13702831086105113}",46
sample_000047,C11_Hotspot_Elliptic,,831,"{""center_angle"": ""random"", ""center_angle_rad"": 4.2310994223938705, ""center_radius_ratio"": 0.2695270114006524, ""mode"": ""random"", ""n_particles"": 831, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.08342425661089829, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.09287718389983124, ""sigma_y_ratio"": 0.03614362447919128, ""wafer_radius_mm"": 150.0}",47
sample_000048,C11_Hotspot_Elliptic,,786,"{""center_angle"": ""random"", ""center_angle_rad"": 4.380227571225228, ""center_radius_ratio"": 0.8568307890907189, ""mode"": ""random"", ""n_particles"": 786, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.1968082359748555, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.04222516063010727, ""sigma_y_ratio"": 0.038151323047271445, ""wafer_radius_mm"": 150.0}",48
sample_000049,C11_Hotspot_Elliptic,,1309,"{""center_angle"": ""random"", ""center_angle_rad"": 2.0047943910296984, ""center_radius_ratio"": 0.1689814424709516, ""mode"": ""random"", ""n_particles"": 1309, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 2.565013558976221, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.0476780078352524, ""sigma_y_ratio"": 0.06574639505841248, ""wafer_radius_mm"": 150.0}",49
sample_000050,C01_Uniform,,988,"{""n_particles"": 988, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",50
sample_000051,C07_StraightLine,,1231,"{""angle_deg"": 2.9443285347746473, ""n_particles"": 1231, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.07547316657377362, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.4663996021921235, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03597031592399513}",51
sample_000052,edge_sector_left,sector,1087,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 1087, ""name"": ""wafer_particles.pattern.edge_sector"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""left"", ""wafer_radius_mm"": 150.0}",52
sample_000053,C11_Hotspot_Elliptic,,1059,"{""center_angle"": ""random"", ""center_angle_rad"": 4.000059449349092, ""center_radius_ratio"": 0.42320919581020533, ""mode"": ""random"", ""n_particles"": 1059, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.394110556324018, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.040184295459298316, ""sigma_y_ratio"": 0.0653126376341479, ""wafer_radius_mm"": 150.0}",53
sample_000054,C04_Sector_Edge,,520,"{""angle_center_rad"": 4.543963431526713, ""angle_width_deg"": 84.71465804919501, ""edge_width_ratio"": 0.2993846493254935, ""n_particles"": 520, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.530490704292169, ""radial_beta_beta"": 1.5187266595170361, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 1.4012237867088622, ""wafer_radius_mm"": 150.0}",54
sample_000055,C01_Uniform,,1418,"{""n_particles"": 1418, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",55
sample_000056,C04_Sector_Edge,,1183,"{""angle_center_rad"": 5.124825244711509, ""angle_width_deg"": 56.89318625169258, ""edge_width_ratio"": 0.05435908686856265, ""n_particles"": 1183, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.8193423047138388, ""radial_beta_beta"": 1.8428193012495668, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 1.8962299786662788, ""wafer_radius_mm"": 150.0}",56
sample_000057,C01_Uniform,,1225,"{""n_particles"": 1225, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",57
sample_000058,C03_Ring,,831,"{""n_particles"": 831, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.4298010247941639, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.1703294893174578}",58
sample_000059,C11_Hotspot_Elliptic,,636,"{""center_angle"": ""random"", ""center_angle_rad"": 2.2253153984181337, ""center_radius_ratio"": 0.6257189422585439, ""mode"": ""random"", ""n_particles"": 636, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 2.674127515051992, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.05219123426714299, ""sigma_y_ratio"": 0.035486791060047526, ""wafer_radius_mm"": 150.0}",59
sample_000060,C11_Hotspot_Elliptic,,1097,"{""center_angle"": ""random"", ""center_angle_rad"": 0.34024104018556955, ""center_radius_ratio"": 0.2068055402438135, ""mode"": ""random"", ""n_particles"": 1097, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 2.2289764524210107, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.11597723189394335, ""sigma_y_ratio"": 0.05953291799859225, ""wafer_radius_mm"": 150.0}",60
sample_000061,C11_Hotspot_Elliptic,,571,"{""center_angle"": ""random"", ""center_angle_rad"": 2.302419427148942, ""center_radius_ratio"": 0.4470080682429522, ""mode"": ""random"", ""n_particles"": 571, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 2.6257019120567353, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08145672417882303, ""sigma_y_ratio"": 0.07088184146543881, ""wafer_radius_mm"": 150.0}",61
sample_000062,C04_Sector_Edge,,556,"{""angle_center_rad"": 5.23276773425409, ""angle_width_deg"": 41.22896257360692, ""edge_width_ratio"": 0.22849508874886015, ""n_particles"": 556, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.654152058419433, ""radial_beta_beta"": 0.9263467523107317, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 1.7131913048329883, ""wafer_radius_mm"": 150.0}",62
sample_000063,C07_StraightLine,,1478,"{""angle_deg"": 28.98822819513087, ""n_particles"": 1478, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.0749455600383031, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7624603316128573, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03231402722075942}",63
sample_000064,C01_Uniform,,651,"{""n_particles"": 651, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",64
sample_000065,C03_Ring,,1161,"{""n_particles"": 1161, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.44232734298447046, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.09746768899525121}",65
sample_000066,C07_StraightLine,,1432,"{""angle_deg"": 105.02364752293259, ""n_particles"": 1432, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.2799481183273604, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.45597275063411496, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.045404341172179924}",66
sample_000067,C03_Ring,,537,"{""n_particles"": 537, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6473836506499229, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.12254302207199091}",67
sample_000068,ring_wide,ring,1461,"{""n_particles"": 1461, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",68
sample_000069,C04_Sector_Edge,,738,"{""angle_center_rad"": 0.1275128859988509, ""angle_width_deg"": 83.90788464056068, ""edge_width_ratio"": 0.20720553156487265, ""n_particles"": 738, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.844417861592491, ""radial_beta_beta"": 2.1822010678461234, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 4.2719501560480815, ""wafer_radius_mm"": 150.0}",69
sample_000070,C11_Hotspot_Elliptic,,1352,"{""center_angle"": ""random"", ""center_angle_rad"": 5.055281520800807, ""center_radius_ratio"": 0.0475595862897091, ""mode"": ""random"", ""n_particles"": 1352, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.0026612046383425, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.03427257217846197, ""sigma_y_ratio"": 0.06281877434867394, ""wafer_radius_mm"": 150.0}",70
sample_000071,C07_StraightLine,,829,"{""angle_deg"": 118.43753638430998, ""n_particles"": 829, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.25082605581253076, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.4805631204171902, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01011645241107116}",71
sample_000072,C01_Uniform,,1231,"{""n_particles"": 1231, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",72
